"hpi_type","hpi_flavor","level","place_name","place_id","yr","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","quarter_2","quarter_3","quarter_4","quarter_1"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1991","100.00","100.91","101.30","101.69","102.32","102.77","102.97","103.14","102.84","103.08","103.97","103.74","101.32","102.01","102.66","100.00"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1992","103.86","104.34","105.52","105.91","106.52","106.92","107.13","107.58","107.57","108.17","108.40","108.75","105.48","106.47","107.41","103.74"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1993","108.46","108.31","109.27","110.22","110.84","111.92","112.15","112.62","113.11","113.23","113.55","113.79","110.04","111.53","112.43","107.76"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1994","114.01","114.39","115.14","116.33","117.16","117.88","117.91","118.36","118.37","118.98","119.14","118.88","116.00","117.11","117.88","113.54"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1995","119.08","119.96","120.46","121.68","122.02","123.21","123.68","124.27","124.51","124.76","124.69","125.09","121.27","122.98","123.64","118.90"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1996","124.86","125.92","126.74","128.28","128.97","129.49","130.09","129.83","130.04","129.89","130.68","130.49","127.69","128.74","129.10","124.81"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1997","129.93","130.62","131.80","132.17","133.57","134.01","134.37","134.58","134.47","134.85","134.76","134.62","132.05","133.19","133.45","129.66"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1998","134.60","135.72","136.57","137.32","138.41","139.34","139.71","140.08","140.56","141.14","141.45","141.34","137.11","138.75","139.92","134.52"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","1999","141.36","142.52","143.48","144.27","146.02","146.72","147.50","148.19","148.17","148.58","148.29","148.52","144.35","146.47","147.01","141.28"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2000","149.69","149.23","151.27","152.31","153.51","154.86","155.66","155.79","155.93","156.09","155.93","156.31","152.19","154.26","154.57","148.86"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2001","156.41","157.45","158.58","159.81","161.19","161.97","162.62","162.91","163.27","163.99","163.44","163.35","159.51","161.33","161.95","156.17"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2002","163.70","164.18","165.71","166.59","168.11","169.36","169.86","170.28","170.64","170.68","171.16","170.58","166.42","168.54","169.18","163.09"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2003","171.09","171.67","172.77","174.23","175.96","176.74","177.68","178.29","178.36","178.82","178.68","178.85","174.00","176.30","176.99","170.21"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2004","177.77","179.61","180.75","182.34","184.20","185.39","186.12","186.65","186.15","186.62","186.34","186.02","182.22","184.48","184.44","177.84"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2005","185.92","185.69","188.00","190.03","191.62","192.42","192.94","193.04","193.68","193.43","192.43","191.34","189.62","191.27","190.55","184.87"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2006","190.99","191.52","192.39","194.59","195.97","195.92","195.94","195.36","194.47","193.37","191.44","191.21","193.61","193.27","190.22","189.90"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2007","191.09","190.80","191.81","192.46","193.73","193.76","192.20","191.61","189.08","187.09","185.20","182.59","191.40","189.15","183.38","189.34"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2008","180.39","180.57","180.40","180.03","180.90","180.79","179.48","178.30","174.32","173.34","169.64","168.03","178.65","175.62","168.88","178.61"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2009","170.29","169.59","168.87","168.99","172.79","172.02","170.66","170.13","169.44","167.79","168.64","164.29","169.51","168.24","165.19","167.53"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2010","163.00","162.56","163.37","165.23","168.22","166.98","166.03","166.31","163.26","164.51","163.09","158.82","164.86","163.20","160.11","161.15"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2011","156.97","155.80","153.35","155.69","159.11","160.82","162.36","159.95","159.61","157.23","159.29","156.12","156.72","158.62","155.53","153.27"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2012","153.93","153.99","156.06","159.06","162.82","164.14","164.26","164.54","163.68","163.04","161.83","160.01","160.05","161.94","159.46","152.83"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2013","159.87","160.70","163.64","166.93","169.98","172.31","173.53","173.12","172.40","170.95","170.52","169.58","167.76","170.66","168.11","159.58"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2014","168.39","168.90","171.27","174.49","176.31","178.61","179.71","179.64","178.50","178.01","176.89","176.58","174.28","176.87","174.89","167.50"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2015","174.09","176.39","178.68","181.31","184.56","187.39","186.67","185.18","185.64","184.97","185.11","183.65","182.19","183.36","181.93","174.39"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2016","182.68","182.71","186.69","189.41","192.31","195.24","195.59","196.22","195.43","194.92","194.43","193.98","189.92","193.00","191.77","181.87"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2017","192.32","194.75","198.63","200.89","203.56","205.36","206.41","206.65","206.00","205.71","205.42","205.28","200.67","203.46","202.59","193.13"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2018","205.50","208.02","210.47","213.46","215.86","218.52","218.63","218.79","218.63","218.64","217.01","216.00","213.12","215.56","214.23","205.46"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2019","215.62","218.88","221.28","224.61","227.44","229.63","230.09","230.05","230.14","229.33","230.29","228.55","224.25","226.79","226.12","216.10"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2020","228.84","232.60","235.82","238.13","239.39","242.88","246.22","248.59","251.73","253.70","254.63","255.53","237.03","245.25","250.99","229.65"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2021","256.86","260.41","265.98","272.21","278.14","284.21","286.31","286.37","288.40","289.56","290.63","292.15","274.58","282.85","286.56","257.79"
"traditional","purchase-only","USA or Census Division","East North Central Division","DV_ENC","2022","294.80","300.65","307.23","313.82","320.11","321.03","320.08","316.97","318.21","315.12","313.82",,"314.01","313.85",,"297.30"
"traditional","purchase-only","USA or Census Division","East South Central Division","DV_ESC","1991","100.00","101.01","100.87","100.81","101.14","102.01","101.88","101.73","101.99","101.93","102.73","103.40","100.50","100.88","101.84","100.00"
"traditional","purchase-only","USA or Census Division","East South Central Division","DV_ESC","1992","103.32","104.47","104.24","103.76","104.50","104.72","105.23","106.30","106.66","106.91","106.88","106.92","103.46","105.12","105.90","103.27"
"traditional","purchase-only","USA or Census Division","East South Central Division","DV_ESC","1993","106.96","106.95","108.41","108.76","109.16","109.57","109.96","110.89","111.83","111.33","112.20","112.25","108.22","109.77","110.87","106.60"
"traditional","purchase-only","USA or Census Division","East South Central Division","DV_ESC","1994","112.76","114.04","114.14","115.19","115.59","116.24","116.46","117.27","116.92","117.54","118.34","117.86","114.56","115.87","116.64","112.69"
"traditional","purchase-only","USA or Census Division","East South Central Division","DV_ESC","1995","117.66","119.17","119.66","119.37","119.95","121.72","122.08","122.10","122.45","123.20","123.45","123.65","119.43","120.99","122.12","117.88"
